time,open,high,low,close,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-16 13:20:00,6.7,6.7,6.7,6.7,0.0,0.0,True,False,True,False
2024-07-16 13:27:00,6.9,6.9,6.9,6.9,0.0,0.0,True,False,True,False
2024-07-16 13:45:00,6.68,6.69,6.68,6.69,0.0,0.0,False,True,False,True
2024-07-16 13:48:00,6.78,6.78,6.78,6.78,0.0,0.0,True,False,True,False
2024-07-16 14:03:00,6.35,6.35,6.35,6.35,0.0,0.0,False,True,False,True
2024-07-16 14:10:00,6.45,6.45,6.45,6.45,0.0,0.0,True,False,True,False
2024-07-16 14:14:00,6.25,6.25,6.2,6.25,0.0,0.0,False,True,False,True
2024-07-16 14:17:00,6.19,6.19,6.15,6.15,0.0,0.0,False,True,False,True
2024-07-16 14:22:00,6.51,6.55,6.51,6.55,0.0,0.0,True,False,True,False
2024-07-16 14:24:00,6.64,6.64,6.64,6.64,0.0,0.0,True,False,True,False
2024-07-16 14:40:00,6.75,6.75,6.75,6.75,0.0,0.0,True,False,True,False
2024-07-16 14:44:00,6.93,6.93,6.93,6.93,0.0,0.0,True,False,True,False
2024-07-16 15:00:00,6.95,6.95,6.95,6.95,0.0,0.0,True,False,True,False
2024-07-16 15:16:00,6.69,6.69,6.69,6.69,0.0,0.0,False,True,False,True
2024-07-16 15:19:00,6.6,6.6,6.55,6.55,0.0,0.0,False,True,False,True
2024-07-16 15:43:00,6.5,6.5,6.5,6.5,0.0,0.0,False,True,False,True
2024-07-16 15:51:00,6.52,6.75,6.52,6.75,0.0,0.0,True,False,True,False
2024-07-16 15:53:00,6.75,6.75,6.75,6.75,0.0,0.0,True,False,True,False
2024-07-16 15:55:00,6.8,7.1,6.8,7.1,0.0,0.0,True,False,True,False
2024-07-17 09:31:00,3.75,4.5,2.98,3.05,0.0,0.0,False,True,False,True
2024-07-17 09:33:00,3.6,3.65,3.18,3.35,0.0,0.0,False,True,False,True
2024-07-17 09:35:00,3.2,3.35,3.04,3.15,0.0,0.0,False,True,False,True
2024-07-17 09:45:00,3.3,3.3,3.05,3.05,0.0,0.0,False,True,False,True
2024-07-17 09:48:00,3.05,3.2,2.97,3.1,0.0,0.0,True,False,True,False
2024-07-17 09:52:00,3.05,3.05,2.87,2.97,0.0,0.0,False,True,False,True
2024-07-17 09:57:00,2.9,2.94,2.75,2.83,0.0,0.0,False,True,False,True
2024-07-17 09:59:00,2.77,2.89,2.63,2.7,0.0,0.0,False,True,False,True
2024-07-17 10:01:00,2.54,2.69,2.47,2.5,0.0,0.0,False,True,False,True
2024-07-17 10:03:00,2.48,2.49,2.22,2.23,0.0,0.0,False,True,False,True
2024-07-17 10:08:00,2.2,2.22,2.08,2.14,0.0,0.0,False,True,False,True
2024-07-17 10:11:00,2.16,2.22,1.94,1.98,0.0,0.0,False,True,False,True
2024-07-17 10:22:00,2.15,2.22,2.05,2.1,0.0,0.0,False,True,False,True
2024-07-17 10:24:00,2.09,2.1,2.0,2.04,0.0,0.0,False,True,False,True
2024-07-17 10:32:00,2.12,2.23,2.09,2.18,0.0,0.0,True,False,True,False
2024-07-17 10:34:00,2.16,2.21,2.08,2.19,0.0,0.0,True,False,True,False
2024-07-17 10:36:00,2.28,2.4,2.24,2.35,0.0,0.0,True,False,True,False
