time,open,high,low,close
2024-07-16 13:06:00,6.52,6.52,6.41,6.41
2024-07-16 13:07:00,6.45,6.45,6.45,6.45
2024-07-16 13:08:00,6.59,6.59,6.59,6.59
2024-07-16 13:09:00,6.59,6.59,6.59,6.59
2024-07-16 13:10:00,6.59,6.59,6.59,6.59
2024-07-16 13:11:00,6.59,6.59,6.59,6.59
2024-07-16 13:12:00,6.55,6.55,6.55,6.55
2024-07-16 13:13:00,6.55,6.55,6.55,6.55
2024-07-16 13:14:00,6.55,6.55,6.55,6.55
2024-07-16 13:15:00,6.57,6.57,6.5,6.5
2024-07-16 13:16:00,6.41,6.41,6.41,6.41
2024-07-16 13:17:00,6.41,6.41,6.41,6.41
2024-07-16 13:18:00,6.41,6.41,6.41,6.41
2024-07-16 13:19:00,6.6,6.6,6.6,6.6
2024-07-16 13:20:00,6.7,6.7,6.7,6.7
2024-07-16 13:21:00,6.75,6.75,6.7,6.7
2024-07-16 13:22:00,6.7,6.7,6.7,6.7
2024-07-16 13:23:00,6.7,6.7,6.7,6.7
2024-07-16 13:24:00,6.7,6.7,6.7,6.7
2024-07-16 13:25:00,6.7,6.8,6.7,6.8
2024-07-16 13:26:00,6.8,6.8,6.8,6.8
2024-07-16 13:27:00,6.9,6.9,6.9,6.9
2024-07-16 13:28:00,6.9,6.9,6.9,6.9
2024-07-16 13:29:00,6.9,6.9,6.9,6.9
2024-07-16 13:30:00,6.7,6.7,6.7,6.7
2024-07-16 13:31:00,6.7,6.7,6.7,6.7
2024-07-16 13:32:00,6.75,6.75,6.75,6.75
2024-07-16 13:33:00,6.75,6.75,6.75,6.75
2024-07-16 13:34:00,6.75,6.75,6.75,6.75
2024-07-16 13:35:00,6.75,6.75,6.75,6.75
2024-07-16 13:36:00,6.75,6.75,6.75,6.75
2024-07-16 13:37:00,6.75,6.75,6.75,6.75
2024-07-16 13:38:00,6.75,6.75,6.75,6.75
2024-07-16 13:39:00,6.75,6.75,6.75,6.75
2024-07-16 13:40:00,6.75,6.75,6.75,6.75
2024-07-16 13:41:00,6.75,6.75,6.75,6.75
2024-07-16 13:42:00,6.75,6.75,6.75,6.75
2024-07-16 13:43:00,6.6,6.74,6.6,6.74
2024-07-16 13:44:00,6.74,6.74,6.74,6.74
2024-07-16 13:45:00,6.68,6.69,6.68,6.69
2024-07-16 13:46:00,6.69,6.69,6.69,6.69
2024-07-16 13:47:00,6.69,6.69,6.69,6.69
2024-07-16 13:48:00,6.78,6.78,6.78,6.78
2024-07-16 13:49:00,6.78,6.78,6.78,6.78
2024-07-16 13:50:00,6.78,6.78,6.78,6.78
2024-07-16 13:51:00,6.78,6.78,6.78,6.78
2024-07-16 13:52:00,6.7,6.7,6.7,6.7
2024-07-16 13:53:00,6.7,6.7,6.7,6.7
2024-07-16 13:54:00,6.7,6.7,6.7,6.7
2024-07-16 13:55:00,6.7,6.7,6.7,6.7
2024-07-16 13:56:00,6.72,6.8,6.72,6.8
2024-07-16 13:57:00,6.8,6.8,6.8,6.8
2024-07-16 13:58:00,6.8,6.8,6.8,6.8
2024-07-16 13:59:00,6.71,6.71,6.71,6.71
2024-07-16 14:00:00,6.71,6.71,6.71,6.71
2024-07-16 14:01:00,6.71,6.71,6.71,6.71
2024-07-16 14:02:00,6.71,6.71,6.71,6.71
2024-07-16 14:03:00,6.35,6.35,6.35,6.35
2024-07-16 14:04:00,6.35,6.35,6.35,6.35
2024-07-16 14:05:00,6.39,6.39,6.39,6.39
2024-07-16 14:06:00,6.39,6.39,6.39,6.39
2024-07-16 14:07:00,6.39,6.39,6.39,6.39
2024-07-16 14:08:00,6.39,6.39,6.39,6.39
2024-07-16 14:09:00,6.39,6.39,6.39,6.39
2024-07-16 14:10:00,6.45,6.45,6.45,6.45
2024-07-16 14:11:00,6.45,6.45,6.45,6.45
2024-07-16 14:12:00,6.45,6.45,6.45,6.45
2024-07-16 14:13:00,6.35,6.35,6.35,6.35
2024-07-16 14:14:00,6.25,6.25,6.2,6.25
2024-07-16 14:15:00,6.25,6.25,6.25,6.25
2024-07-16 14:16:00,6.23,6.23,6.23,6.23
2024-07-16 14:17:00,6.19,6.19,6.15,6.15
2024-07-16 14:18:00,6.15,6.15,6.15,6.15
2024-07-16 14:19:00,6.15,6.15,6.15,6.15
2024-07-16 14:20:00,6.1,6.15,6.1,6.15
2024-07-16 14:21:00,6.21,6.21,6.21,6.21
2024-07-16 14:22:00,6.51,6.55,6.51,6.55
2024-07-16 14:23:00,6.55,6.55,6.55,6.55
2024-07-16 14:24:00,6.64,6.64,6.64,6.64
2024-07-16 14:25:00,6.68,6.73,6.68,6.73
2024-07-16 14:26:00,6.73,6.73,6.73,6.73
2024-07-16 14:27:00,6.5,6.6,6.5,6.6
2024-07-16 14:28:00,6.6,6.6,6.6,6.6
2024-07-16 14:29:00,6.6,6.6,6.6,6.6
2024-07-16 14:30:00,6.6,6.6,6.6,6.6
2024-07-16 14:31:00,6.6,6.6,6.6,6.6
2024-07-16 14:32:00,6.6,6.6,6.6,6.6
2024-07-16 14:33:00,6.6,6.6,6.6,6.6
2024-07-16 14:34:00,6.6,6.6,6.6,6.6
2024-07-16 14:35:00,6.6,6.6,6.6,6.6
2024-07-16 14:36:00,6.6,6.6,6.6,6.6
2024-07-16 14:37:00,6.6,6.6,6.6,6.6
2024-07-16 14:38:00,6.6,6.6,6.6,6.6
2024-07-16 14:39:00,6.6,6.6,6.6,6.6
2024-07-16 14:40:00,6.75,6.75,6.75,6.75
2024-07-16 14:41:00,6.75,6.75,6.75,6.75
2024-07-16 14:42:00,6.75,6.75,6.75,6.75
2024-07-16 14:43:00,6.9,6.9,6.9,6.9
2024-07-16 14:44:00,6.93,6.93,6.93,6.93
2024-07-16 14:45:00,7.0,7.05,7.0,7.05
2024-07-16 14:46:00,6.95,6.95,6.95,6.95
2024-07-16 14:47:00,6.95,6.95,6.95,6.95
2024-07-16 14:48:00,6.95,6.95,6.95,6.95
2024-07-16 14:49:00,7.0,7.0,7.0,7.0
2024-07-16 14:50:00,7.0,7.0,7.0,7.0
2024-07-16 14:51:00,7.0,7.0,7.0,7.0
2024-07-16 14:52:00,7.0,7.0,7.0,7.0
2024-07-16 14:53:00,7.0,7.0,7.0,7.0
2024-07-16 14:54:00,7.0,7.0,7.0,7.0
2024-07-16 14:55:00,7.0,7.0,7.0,7.0
2024-07-16 14:56:00,6.8,6.8,6.8,6.8
2024-07-16 14:57:00,6.8,6.8,6.8,6.8
2024-07-16 14:58:00,6.9,6.95,6.9,6.95
2024-07-16 14:59:00,6.93,6.93,6.93,6.93
2024-07-16 15:00:00,6.95,6.95,6.95,6.95
2024-07-16 15:01:00,6.95,6.95,6.95,6.95
2024-07-16 15:02:00,6.95,6.95,6.95,6.95
2024-07-16 15:03:00,6.95,6.95,6.95,6.95
2024-07-16 15:04:00,6.84,6.84,6.8,6.8
2024-07-16 15:05:00,6.8,6.8,6.8,6.8
2024-07-16 15:06:00,6.8,6.8,6.8,6.8
2024-07-16 15:07:00,6.8,6.8,6.8,6.8
2024-07-16 15:08:00,6.8,6.8,6.8,6.8
2024-07-16 15:09:00,6.8,6.8,6.8,6.8
2024-07-16 15:10:00,6.8,6.8,6.8,6.8
2024-07-16 15:11:00,6.8,6.8,6.8,6.8
2024-07-16 15:12:00,6.8,6.8,6.8,6.8
2024-07-16 15:13:00,6.8,6.8,6.8,6.8
2024-07-16 15:14:00,6.8,6.8,6.8,6.8
2024-07-16 15:15:00,6.8,6.8,6.8,6.8
2024-07-16 15:16:00,6.69,6.69,6.69,6.69
2024-07-16 15:17:00,6.65,6.65,6.65,6.65
2024-07-16 15:18:00,6.65,6.65,6.65,6.65
2024-07-16 15:19:00,6.6,6.6,6.55,6.55
2024-07-16 15:20:00,6.45,6.45,6.45,6.45
2024-07-16 15:21:00,6.49,6.49,6.49,6.49
2024-07-16 15:22:00,6.49,6.49,6.49,6.49
2024-07-16 15:23:00,6.49,6.49,6.49,6.49
2024-07-16 15:24:00,6.5,6.5,6.5,6.5
2024-07-16 15:25:00,6.5,6.5,6.5,6.5
2024-07-16 15:26:00,6.5,6.5,6.5,6.5
2024-07-16 15:27:00,6.5,6.5,6.5,6.5
2024-07-16 15:28:00,6.55,6.55,6.55,6.55
2024-07-16 15:29:00,6.55,6.55,6.55,6.55
2024-07-16 15:30:00,6.63,6.63,6.63,6.63
2024-07-16 15:31:00,6.63,6.63,6.63,6.63
2024-07-16 15:32:00,6.5,6.5,6.5,6.5
2024-07-16 15:33:00,6.61,6.61,6.61,6.61
2024-07-16 15:34:00,6.61,6.61,6.61,6.61
2024-07-16 15:35:00,6.61,6.61,6.61,6.61
2024-07-16 15:36:00,6.61,6.61,6.61,6.61
2024-07-16 15:37:00,6.61,6.61,6.61,6.61
2024-07-16 15:38:00,6.61,6.61,6.61,6.61
2024-07-16 15:39:00,6.61,6.61,6.61,6.61
2024-07-16 15:40:00,6.56,6.56,6.56,6.56
2024-07-16 15:41:00,6.55,6.55,6.54,6.54
2024-07-16 15:42:00,6.6,6.6,6.58,6.58
2024-07-16 15:43:00,6.5,6.5,6.5,6.5
2024-07-16 15:44:00,6.5,6.5,6.5,6.5
2024-07-16 15:45:00,6.4,6.4,6.4,6.4
2024-07-16 15:46:00,6.4,6.4,6.4,6.4
2024-07-16 15:47:00,6.4,6.5,6.4,6.5
2024-07-16 15:48:00,6.45,6.5,6.45,6.45
2024-07-16 15:49:00,6.5,6.55,6.46,6.46
2024-07-16 15:50:00,6.46,6.46,6.46,6.46
2024-07-16 15:51:00,6.52,6.75,6.52,6.75
2024-07-16 15:52:00,6.62,6.62,6.62,6.62
2024-07-16 15:53:00,6.75,6.75,6.75,6.75
2024-07-16 15:54:00,6.83,6.9,6.81,6.81
2024-07-16 15:55:00,6.8,7.1,6.8,7.1
2024-07-16 15:56:00,6.95,7.22,6.95,7.22
2024-07-16 15:57:00,6.9,6.9,6.9,6.9
2024-07-16 15:58:00,6.9,7.0,6.9,7.0
2024-07-16 15:59:00,7.05,7.1,7.05,7.1
2024-07-16 16:00:00,7.25,7.25,7.0,7.0
2024-07-17 09:31:00,3.75,4.5,2.98,3.05
2024-07-17 09:32:00,3.32,3.62,3.3,3.62
2024-07-17 09:33:00,3.6,3.65,3.18,3.35
2024-07-17 09:34:00,3.25,3.45,3.0,3.24
2024-07-17 09:35:00,3.2,3.35,3.04,3.15
2024-07-17 09:36:00,3.22,3.4,3.14,3.2
2024-07-17 09:37:00,3.31,3.31,2.93,3.05
2024-07-17 09:38:00,3.04,3.32,2.9,3.15
2024-07-17 09:39:00,3.15,3.3,3.0,3.15
2024-07-17 09:40:00,3.2,3.52,3.13,3.22
2024-07-17 09:41:00,3.25,3.36,3.15,3.36
2024-07-17 09:42:00,3.3,3.35,3.1,3.15
2024-07-17 09:43:00,3.1,3.21,2.99,3.21
2024-07-17 09:44:00,3.12,3.3,3.04,3.3
2024-07-17 09:45:00,3.3,3.3,3.05,3.05
2024-07-17 09:46:00,3.0,3.1,2.88,2.88
2024-07-17 09:47:00,2.82,3.1,2.8,3.05
2024-07-17 09:48:00,3.05,3.2,2.97,3.1
2024-07-17 09:49:00,3.15,3.2,3.0,3.2
2024-07-17 09:50:00,3.15,3.2,3.07,3.16
2024-07-17 09:51:00,3.15,3.16,2.95,3.02
2024-07-17 09:52:00,3.05,3.05,2.87,2.97
2024-07-17 09:53:00,2.94,2.97,2.86,2.86
2024-07-17 09:54:00,2.87,3.05,2.86,2.99
2024-07-17 09:55:00,2.99,3.22,2.98,2.99
2024-07-17 09:56:00,3.05,3.15,2.9,2.9
2024-07-17 09:57:00,2.9,2.94,2.75,2.83
2024-07-17 09:58:00,2.87,2.91,2.75,2.79
2024-07-17 09:59:00,2.77,2.89,2.63,2.7
2024-07-17 10:00:00,2.69,2.72,2.54,2.57
2024-07-17 10:01:00,2.54,2.69,2.47,2.5
2024-07-17 10:02:00,2.51,2.52,2.41,2.5
2024-07-17 10:03:00,2.48,2.49,2.22,2.23
2024-07-17 10:04:00,2.25,2.26,2.11,2.17
2024-07-17 10:05:00,2.15,2.27,2.15,2.23
2024-07-17 10:06:00,2.24,2.35,2.23,2.32
2024-07-17 10:07:00,2.29,2.34,2.2,2.21
2024-07-17 10:08:00,2.2,2.22,2.08,2.14
2024-07-17 10:09:00,2.13,2.21,2.11,2.13
2024-07-17 10:10:00,2.15,2.17,2.04,2.15
2024-07-17 10:11:00,2.16,2.22,1.94,1.98
2024-07-17 10:12:00,1.98,2.13,1.92,1.93
2024-07-17 10:13:00,1.92,2.11,1.87,2.08
2024-07-17 10:14:00,2.09,2.17,2.08,2.11
2024-07-17 10:15:00,2.12,2.25,2.07,2.1
2024-07-17 10:16:00,2.11,2.25,2.08,2.23
2024-07-17 10:17:00,2.21,2.23,2.09,2.1
2024-07-17 10:18:00,2.12,2.15,1.98,2.14
2024-07-17 10:19:00,2.14,2.25,2.14,2.23
2024-07-17 10:20:00,2.25,2.28,2.21,2.27
2024-07-17 10:21:00,2.26,2.32,2.15,2.17
2024-07-17 10:22:00,2.15,2.22,2.05,2.1
2024-07-17 10:23:00,2.08,2.11,2.0,2.08
2024-07-17 10:24:00,2.09,2.1,2.0,2.04
2024-07-17 10:25:00,2.06,2.16,2.02,2.13
2024-07-17 10:26:00,2.13,2.14,1.92,1.94
2024-07-17 10:27:00,2.01,2.05,1.97,1.98
2024-07-17 10:28:00,1.97,2.16,1.97,2.13
2024-07-17 10:29:00,2.13,2.22,2.07,2.07
2024-07-17 10:30:00,2.09,2.14,2.06,2.1
2024-07-17 10:31:00,2.07,2.22,2.07,2.1
2024-07-17 10:32:00,2.12,2.23,2.09,2.18
2024-07-17 10:33:00,2.18,2.21,2.13,2.17
2024-07-17 10:34:00,2.16,2.21,2.08,2.19
2024-07-17 10:35:00,2.2,2.37,2.19,2.26
2024-07-17 10:36:00,2.28,2.4,2.24,2.35
2024-07-17 10:37:00,2.35,2.38,2.27,2.28
2024-07-17 10:38:00,2.26,2.29,2.16,2.2
2024-07-17 10:39:00,2.21,2.26,2.18,2.23
2024-07-17 10:40:00,2.22,2.4,2.22,2.35
2024-07-17 10:41:00,2.35,2.45,2.33,2.45
2024-07-17 10:42:00,2.42,2.47,2.42,2.46
2024-07-17 10:43:00,2.46,2.47,2.37,2.39
2024-07-17 10:44:00,2.37,2.6,2.35,2.58
2024-07-17 10:45:00,2.59,2.59,2.5,2.56
2024-07-17 10:46:00,2.55,2.6,2.47,2.57
2024-07-17 10:47:00,2.57,2.57,2.41,2.42
2024-07-17 10:48:00,2.41,2.43,2.3,2.3
2024-07-17 10:49:00,2.31,2.35,2.22,2.24
2024-07-17 10:50:00,2.25,2.32,2.15,2.17
2024-07-17 10:51:00,2.17,2.26,2.12,2.17
2024-07-17 10:52:00,2.17,2.3,2.16,2.25
2024-07-17 10:53:00,2.24,2.25,2.15,2.17
2024-07-17 10:54:00,2.18,2.18,2.08,2.1
2024-07-17 10:55:00,2.11,2.17,2.02,2.02
2024-07-17 10:56:00,2.05,2.17,2.05,2.09
2024-07-17 10:57:00,2.1,2.15,2.07,2.1
2024-07-17 10:58:00,2.13,2.23,2.12,2.22
2024-07-17 10:59:00,2.21,2.26,2.16,2.26
2024-07-17 11:00:00,2.27,2.29,2.2,2.24
2024-07-17 11:01:00,2.22,2.27,2.15,2.26
2024-07-17 11:02:00,2.26,2.31,2.24,2.26
2024-07-17 11:03:00,2.24,2.29,2.23,2.26
2024-07-17 11:04:00,2.28,2.38,2.28,2.33
2024-07-17 11:05:00,2.32,2.38,2.31,2.36
2024-07-17 11:06:00,2.36,2.37,2.17,2.2
2024-07-17 11:07:00,2.17,2.33,2.17,2.19
2024-07-17 11:08:00,2.2,2.25,2.17,2.22
2024-07-17 11:09:00,2.23,2.29,2.14,2.29
2024-07-17 11:10:00,2.3,2.33,2.27,2.3
2024-07-17 11:11:00,2.3,2.38,2.27,2.36
2024-07-17 11:12:00,2.36,2.36,2.16,2.16
2024-07-17 11:13:00,2.18,2.2,2.13,2.2
2024-07-17 11:14:00,2.18,2.3,2.18,2.21
2024-07-17 11:15:00,2.19,2.25,2.18,2.19
2024-07-17 11:16:00,2.19,2.19,2.15,2.19
2024-07-17 11:17:00,2.18,2.18,2.14,2.17
2024-07-17 11:18:00,2.18,2.32,2.18,2.32
2024-07-17 11:19:00,2.29,2.33,2.26,2.28
2024-07-17 11:20:00,2.28,2.32,2.23,2.24
2024-07-17 11:21:00,2.22,2.22,2.16,2.18
2024-07-17 11:22:00,2.18,2.32,2.18,2.24
2024-07-17 11:23:00,2.29,2.44,2.26,2.43
2024-07-17 11:24:00,2.4,2.44,2.39,2.41
2024-07-17 11:25:00,2.39,2.41,2.3,2.32
2024-07-17 11:26:00,2.29,2.3,2.2,2.2
2024-07-17 11:27:00,2.22,2.25,2.17,2.18
2024-07-17 11:28:00,2.16,2.29,2.16,2.25
2024-07-17 11:29:00,2.25,2.35,2.25,2.3
2024-07-17 11:30:00,2.3,2.35,2.29,2.33
2024-07-17 11:31:00,2.35,2.37,2.27,2.34
2024-07-17 11:32:00,2.34,2.38,2.21,2.22
2024-07-17 11:33:00,2.2,2.28,2.15,2.25
2024-07-17 11:34:00,2.29,2.3,2.24,2.28
2024-07-17 11:35:00,2.26,2.44,2.26,2.39
2024-07-17 11:36:00,2.38,2.39,2.24,2.27
2024-07-17 11:37:00,2.26,2.27,2.2,2.22
2024-07-17 11:38:00,2.23,2.31,2.23,2.23
2024-07-17 11:39:00,2.23,2.23,2.17,2.18
2024-07-17 11:40:00,2.16,2.2,2.15,2.17
2024-07-17 11:41:00,2.17,2.19,2.08,2.08
2024-07-17 11:42:00,2.07,2.1,2.0,2.04
2024-07-17 11:43:00,2.01,2.03,1.93,1.94
2024-07-17 11:44:00,1.95,2.06,1.93,1.96
2024-07-17 11:45:00,1.96,2.02,1.96,1.99
2024-07-17 11:46:00,1.98,2.06,1.93,2.03
2024-07-17 11:47:00,2.03,2.04,1.93,1.94
2024-07-17 11:48:00,1.98,2.01,1.96,1.98
2024-07-17 11:49:00,1.96,2.0,1.95,2.0
2024-07-17 11:50:00,1.99,2.0,1.91,1.92
2024-07-17 11:51:00,1.91,1.93,1.89,1.9
2024-07-17 11:52:00,1.9,1.97,1.84,1.9
2024-07-17 11:53:00,1.93,2.01,1.89,1.89
2024-07-17 11:54:00,1.93,2.01,1.91,1.97
2024-07-17 11:55:00,1.98,2.03,1.97,1.98
2024-07-17 11:56:00,1.99,2.05,1.99,2.04
2024-07-17 11:57:00,2.04,2.05,2.01,2.03
2024-07-17 11:58:00,2.02,2.02,1.97,1.99
2024-07-17 11:59:00,2.0,2.04,1.98,2.0
2024-07-17 12:00:00,2.01,2.06,2.01,2.06
2024-07-17 12:01:00,2.05,2.09,1.98,2.09
2024-07-17 12:02:00,2.05,2.08,1.96,1.97
2024-07-17 12:03:00,1.99,1.99,1.93,1.97
2024-07-17 12:04:00,1.94,2.02,1.94,2.01
2024-07-17 12:05:00,2.02,2.02,1.97,2.01
2024-07-17 12:06:00,2.02,2.05,1.96,1.96
2024-07-17 12:07:00,1.97,1.99,1.95,1.98
2024-07-17 12:08:00,1.98,1.99,1.92,1.95
2024-07-17 12:09:00,1.96,1.96,1.92,1.93
2024-07-17 12:10:00,1.93,1.93,1.86,1.86
2024-07-17 12:11:00,1.87,1.87,1.78,1.81
2024-07-17 12:12:00,1.81,1.87,1.8,1.86
2024-07-17 12:13:00,1.87,1.88,1.83,1.87
2024-07-17 12:14:00,1.83,1.84,1.8,1.81
2024-07-17 12:15:00,1.81,1.84,1.73,1.78
2024-07-17 12:16:00,1.77,1.78,1.73,1.74
2024-07-17 12:17:00,1.74,1.81,1.72,1.79
2024-07-17 12:18:00,1.8,1.8,1.73,1.73
2024-07-17 12:19:00,1.73,1.81,1.73,1.74
2024-07-17 12:20:00,1.74,1.82,1.72,1.82
2024-07-17 12:21:00,1.82,1.84,1.78,1.83
2024-07-17 12:22:00,1.83,1.84,1.79,1.8
2024-07-17 12:23:00,1.78,1.78,1.74,1.76
2024-07-17 12:24:00,1.75,1.78,1.67,1.68
2024-07-17 12:25:00,1.68,1.75,1.65,1.72
2024-07-17 12:26:00,1.73,1.75,1.62,1.64
2024-07-17 12:27:00,1.64,1.65,1.55,1.58
2024-07-17 12:28:00,1.59,1.65,1.58,1.64
2024-07-17 12:29:00,1.64,1.64,1.53,1.54
2024-07-17 12:30:00,1.54,1.63,1.49,1.62
2024-07-17 12:31:00,1.62,1.7,1.58,1.59
2024-07-17 12:32:00,1.6,1.66,1.55,1.66
2024-07-17 12:33:00,1.65,1.66,1.61,1.62
2024-07-17 12:34:00,1.62,1.65,1.55,1.57
2024-07-17 12:35:00,1.56,1.62,1.54,1.54
2024-07-17 12:36:00,1.54,1.61,1.54,1.6
2024-07-17 12:37:00,1.6,1.6,1.55,1.57
2024-07-17 12:38:00,1.59,1.62,1.49,1.49
2024-07-17 12:39:00,1.51,1.58,1.41,1.56
2024-07-17 12:40:00,1.55,1.59,1.52,1.55
2024-07-17 12:41:00,1.55,1.55,1.42,1.43
2024-07-17 12:42:00,1.43,1.45,1.37,1.38
