time,open,high,low,close
2024-07-26 12:42:00,2.94,2.94,2.94,2.94
2024-07-26 12:43:00,2.75,2.75,2.75,2.75
2024-07-26 12:44:00,2.72,2.72,2.65,2.65
2024-07-26 12:45:00,2.65,2.65,2.65,2.65
2024-07-26 12:46:00,2.65,2.65,2.65,2.65
2024-07-26 12:47:00,2.65,2.65,2.65,2.65
2024-07-26 12:48:00,2.56,2.56,2.56,2.56
2024-07-26 12:49:00,2.56,2.56,2.56,2.56
2024-07-26 12:50:00,2.56,2.56,2.56,2.56
2024-07-26 12:51:00,2.72,2.72,2.72,2.72
2024-07-26 12:52:00,2.72,2.72,2.72,2.72
2024-07-26 12:53:00,2.72,2.72,2.72,2.72
2024-07-26 12:54:00,2.59,2.59,2.59,2.59
2024-07-26 12:55:00,2.59,2.59,2.59,2.59
2024-07-26 12:56:00,2.65,2.65,2.65,2.65
2024-07-26 12:57:00,2.65,2.65,2.65,2.65
2024-07-26 12:58:00,2.62,2.62,2.62,2.62
2024-07-26 12:59:00,2.62,2.62,2.62,2.62
2024-07-26 13:00:00,2.62,2.62,2.62,2.62
2024-07-26 13:01:00,2.62,2.62,2.62,2.62
2024-07-26 13:02:00,2.62,2.62,2.62,2.62
2024-07-26 13:03:00,2.7,2.7,2.7,2.7
2024-07-26 13:04:00,2.7,2.7,2.7,2.7
2024-07-26 13:05:00,2.7,2.7,2.7,2.7
2024-07-26 13:06:00,2.7,2.7,2.7,2.7
2024-07-26 13:07:00,2.7,2.7,2.7,2.7
2024-07-26 13:08:00,2.7,2.7,2.7,2.7
2024-07-26 13:09:00,2.65,2.65,2.65,2.65
2024-07-26 13:10:00,2.65,2.65,2.65,2.65
2024-07-26 13:11:00,2.65,2.65,2.65,2.65
2024-07-26 13:12:00,2.65,2.65,2.65,2.65
2024-07-26 13:13:00,2.65,2.65,2.65,2.65
2024-07-26 13:14:00,2.59,2.59,2.59,2.59
2024-07-26 13:15:00,2.59,2.59,2.59,2.59
2024-07-26 13:16:00,2.59,2.59,2.59,2.59
2024-07-26 13:17:00,2.59,2.59,2.59,2.59
2024-07-26 13:18:00,2.59,2.59,2.59,2.59
2024-07-26 13:19:00,2.59,2.59,2.59,2.59
2024-07-26 13:20:00,2.59,2.59,2.59,2.59
