Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
2812,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-13 08:51,148.28,200,22.00,0.07,30836.00,0.00,56.00,0.19,0,0.00
2812,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-13 08:51,148.17,200,22.00,0.07,30836.00,0.00,56.00,0.19,0,0.00
2811,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-13 08:39,148.17,200,-10.00,-0.03,30814.00,0.00,10.00,0.03,10.00,0.03
2811,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-13 08:39,148.22,200,-10.00,-0.03,30814.00,0.00,10.00,0.03,10.00,0.03
2810,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-13 08:30,149.23,200,36.00,0.12,30824.00,0.00,56.00,0.19,0,0.00
2810,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-13 08:30,149.05,200,36.00,0.12,30824.00,0.00,56.00,0.19,0,0.00
2809,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 14:51,148.03,200,-2.00,-0.01,30788.00,0.00,18.00,0.06,2.00,0.01
2809,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 14:51,148.04,200,-2.00,-0.01,30788.00,0.00,18.00,0.06,2.00,0.01
2808,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 13:48,148.45,200,0,0.00,30790.00,0.00,20.00,0.07,6.00,0.02
2808,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 13:48,148.45,200,0,0.00,30790.00,0.00,20.00,0.07,6.00,0.02
2807,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 13:42,148.60,200,12.00,0.04,30790.00,0.00,32.00,0.11,6.00,0.02
2807,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 13:39,148.54,200,12.00,0.04,30790.00,0.00,32.00,0.11,6.00,0.02
2806,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 13:36,148.64,200,34.00,0.11,30778.00,0.00,54.00,0.18,16.00,0.05
2806,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 13:33,148.47,200,34.00,0.11,30778.00,0.00,54.00,0.18,16.00,0.05
2805,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 13:27,148.30,200,-18.00,-0.06,30744.00,0.00,2.00,0.01,18.00,0.06
2805,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 13:27,148.39,200,-18.00,-0.06,30744.00,0.00,2.00,0.01,18.00,0.06
2804,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 13:06,148.16,200,2.00,0.01,30762.00,0.00,22.00,0.07,0,0.00
2804,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 13:06,148.15,200,2.00,0.01,30762.00,0.00,22.00,0.07,0,0.00
2803,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 12:57,148.31,200,-8.00,-0.03,30760.00,0.00,12.00,0.04,8.00,0.03
2803,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 12:57,148.35,200,-8.00,-0.03,30760.00,0.00,12.00,0.04,8.00,0.03
2802,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 12:51,148.04,200,-20.00,-0.07,30768.00,0.00,0,0.00,20.00,0.07
2802,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 12:51,148.14,200,-20.00,-0.07,30768.00,0.00,0,0.00,20.00,0.07
2801,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 12:48,147.94,200,8.00,0.03,30788.00,0.00,28.00,0.09,16.00,0.05
2801,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 12:45,147.90,200,8.00,0.03,30788.00,0.00,28.00,0.09,16.00,0.05
2800,Exit Short,Supertrend_Strategy_Short_Exit,2024-11-12 11:24,147.65,200,130.00,0.44,30780.00,0.01,150.00,0.51,10.00,0.03
2800,Entry Short,Supertrend_Strategy_Short_Entry,2024-11-12 11:18,148.30,200,130.00,0.44,30780.00,0.01,150.00,0.51,10.00,0.03
2799,Exit Short,Supertrend_Strategy_Short_Exit,2024-11-12 11:12,148.24,200,56.00,0.19,30650.00,0.01,76.00,0.26,14.00,0.05
2799,Entry Short,Supertrend_Strategy_Short_Entry,2024-11-12 11:12,148.52,200,56.00,0.19,30650.00,0.01,76.00,0.26,14.00,0.05
2798,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 11:00,148.56,200,-6.00,-0.02,30594.00,0.00,14.00,0.05,6.00,0.02
2798,Entry Long,Supertrend_Strategy_Long_Entry,2024-11-12 11:00,148.59,200,-6.00,-0.02,30594.00,0.00,14.00,0.05,6.00,0.02
2797,Exit Long,Supertrend_Strategy_Long_Exit,2024-11-12 10:48,148.65,200,-14.00,-0.05,30600.00,0.00,6.00,0.02,14.00,0.05
