Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
435,Exit Short,Short-Stop Loss/TP,2024-06-07 15:45,11.14,90252,-4512.60,-0.45,39154.05,-0.43,1805.04,0.18,4512.60,0.45
435,Entry Short,Short,2024-06-07 15:30,11.09,90252,-4512.60,-0.45,39154.05,-0.43,1805.04,0.18,4512.60,0.45
434,Exit Short,Short-Stop Loss/TP,2024-06-07 15:10,11.13,90171,-3606.84,-0.36,43666.65,-0.34,2705.13,0.27,3606.84,0.36
434,Entry Short,Short,2024-06-07 14:55,11.09,90171,-3606.84,-0.36,43666.65,-0.34,2705.13,0.27,3606.84,0.36
433,Exit Short,Short Close,2024-06-07 13:05,11.06,90579,-1811.58,-0.18,47273.49,-0.17,905.79,0.09,1811.58,0.18
433,Entry Short,Short,2024-06-07 12:55,11.04,90579,-1811.58,-0.18,47273.49,-0.17,905.79,0.09,1811.58,0.18
432,Exit Short,Short Close,2024-06-07 12:50,11.08,90171,901.71,0.09,49085.07,0.09,5410.26,0.54,0,0
432,Entry Short,Short,2024-06-07 12:10,11.09,90171,901.71,0.09,49085.07,0.09,5410.26,0.54,0,0
431,Exit Short,Short-Stop Loss/TP,2024-06-06 14:05,11.29,88967,-4448.35,-0.44,48183.36,-0.42,4448.35,0.44,4448.35,0.44
431,Entry Short,Short,2024-06-06 13:20,11.24,88967,-4448.35,-0.44,48183.36,-0.42,4448.35,0.44,4448.35,0.44
430,Exit Short,Short Close,2024-06-06 11:35,11.22,89365,-2680.95,-0.27,52631.71,-0.25,0,0,2680.95,0.27
430,Entry Short,Short,2024-06-06 11:05,11.19,89365,-2680.95,-0.27,52631.71,-0.25,0,0,2680.95,0.27
429,Exit Short,Short Close,2024-06-06 10:50,11.24,89047,-1780.94,-0.18,55312.66,-0.17,2671.41,0.27,4452.35,0.45
429,Entry Short,Short,2024-06-06 10:15,11.22,89047,-1780.94,-0.18,55312.66,-0.17,2671.41,0.27,4452.35,0.45
428,Exit Short,Short-Stop Loss/TP,2024-06-06 09:40,11.27,89047,-3561.88,-0.36,57093.60,-0.34,890.47,0.09,3561.88,0.36
428,Entry Short,Short,2024-06-06 09:35,11.23,89047,-3561.88,-0.36,57093.60,-0.34,890.47,0.09,3561.88,0.36
427,Exit Short,Short Close,2024-06-05 15:30,11.30,88573,-885.73,-0.09,60655.48,-0.08,885.73,0.09,1771.46,0.18
427,Entry Short,Short,2024-06-05 14:55,11.29,88573,-885.73,-0.09,60655.48,-0.08,885.73,0.09,1771.46,0.18
426,Exit Short,Short-Stop Loss/TP,2024-06-05 13:45,11.34,88261,-882.61,-0.09,61541.21,-0.08,0,0,882.61,0.09
426,Entry Short,Short,2024-06-05 13:45,11.33,88261,-882.61,-0.09,61541.21,-0.08,0,0,882.61,0.09
425,Exit Short,Short Close,2024-06-05 11:30,11.34,87719,4385.95,0.44,62423.82,0.41,7894.71,0.79,2631.57,0.26
425,Entry Short,Short,2024-06-05 10:25,11.39,87719,4385.95,0.44,62423.82,0.41,7894.71,0.79,2631.57,0.26
424,Exit Short,Short-Stop Loss/TP,2024-06-05 09:30,11.37,86805,0,0,58037.87,0,0,0,0,0
424,Entry Short,Short,2024-06-05 09:30,11.37,86805,0,0,58037.87,0,0,0,0,0
423,Exit Short,Short-Stop Loss/TP,2024-06-04 09:30,11.65,86505,-7785.45,-0.78,58037.87,-0.73,8650.50,0.87,7785.45,0.78
423,Entry Short,Short,2024-06-03 15:55,11.56,86505,-7785.45,-0.78,58037.87,-0.73,8650.50,0.87,7785.45,0.78
422,Exit Short,Short-Stop Loss/TP,2024-05-31 15:50,11.58,85324,11945.36,1.19,65823.32,1.13,11945.36,1.19,0,0
422,Entry Short,Short,2024-05-31 15:35,11.72,85324,11945.36,1.19,65823.32,1.13,11945.36,1.19,0,0
421,Exit Short,Short Close,2024-05-31 09:45,11.65,85106,7659.54,0.77,53877.96,0.73,11063.78,1.11,851.06,0.09
421,Entry Short,Short,2024-05-31 09:35,11.74,85106,7659.54,0.77,53877.96,0.73,11063.78,1.11,851.06,0.09
420,Exit Short,Short-Stop Loss/TP,2024-05-28 09:35,11.27,89047,-3561.88,-0.36,46218.42,-0.34,3561.88,0.36,3561.88,0.36
420,Entry Short,Short,2024-05-24 15:40,11.23,89047,-3561.88,-0.36,46218.42,-0.34,3561.88,0.36,3561.88,0.36
419,Exit Short,Short-Stop Loss/TP,2024-05-24 14:55,11.28,89047,-4452.35,-0.45,49780.30,-0.42,1780.94,0.18,4452.35,0.45
419,Entry Short,Short,2024-05-24 14:10,11.23,89047,-4452.35,-0.45,49780.30,-0.42,1780.94,0.18,4452.35,0.45
418,Exit Short,Short Close,2024-05-23 12:45,11.19,89605,-3584.20,-0.36,54232.65,-0.34,0,0,3584.20,0.36
418,Entry Short,Short,2024-05-23 12:30,11.15,89605,-3584.20,-0.36,54232.65,-0.34,0,0,3584.20,0.36
417,Exit Short,Short Close,2024-05-23 12:15,11.25,89285,-4464.25,-0.45,57816.85,-0.42,4464.25,0.45,6249.95,0.63
417,Entry Short,Short,2024-05-23 11:40,11.20,89285,-4464.25,-0.45,57816.85,-0.42,4464.25,0.45,6249.95,0.63
416,Exit Short,Short Close,2024-05-22 10:35,11.14,89686,0,0,62281.10,0,1793.72,0.18,4484.30,0.45
416,Entry Short,Short,2024-05-22 09:40,11.14,89686,0,0,62281.10,0,1793.72,0.18,4484.30,0.45
415,Exit Short,Short Close,2024-05-22 09:30,11.23,89565,-5373.90,-0.54,62281.10,-0.5,895.65,0.09,5373.90,0.54
415,Entry Short,Short,2024-05-21 15:55,11.17,89565,-5373.90,-0.54,62281.10,-0.5,895.65,0.09,5373.90,0.54
414,Exit Short,Short Close,2024-05-21 14:25,11.19,89365,0,0,67655.00,0,893.65,0.09,893.65,0.09
414,Entry Short,Short,2024-05-21 13:40,11.19,89365,0,0,67655.00,0,893.65,0.09,893.65,0.09
413,Exit Short,Short Close,2024-05-21 11:40,11.22,89047,890.47,0.09,67655.00,0.08,890.47,0.09,890.47,0.09
413,Entry Short,Short,2024-05-21 11:15,11.23,89047,890.47,0.09,67655.00,0.08,890.47,0.09,890.47,0.09
412,Exit Short,Short-Stop Loss/TP,2024-05-20 13:25,11.32,88495,-1769.90,-0.18,66764.53,-0.17,0,0,1769.90,0.18
412,Entry Short,Short,2024-05-20 13:20,11.30,88495,-1769.90,-0.18,66764.53,-0.17,0,0,1769.90,0.18
411,Exit Short,Short Close,2024-05-20 10:40,11.28,87873,8787.30,0.88,68534.43,0.83,10544.76,1.05,1757.46,0.18
411,Entry Short,Short,2024-05-17 15:10,11.38,87873,8787.30,0.88,68534.43,0.83,10544.76,1.05,1757.46,0.18
410,Exit Short,Short Close,2024-05-17 14:20,11.44,87680,-3507.20,-0.35,59747.13,-0.33,1753.60,0.18,3507.20,0.35
410,Entry Short,Short,2024-05-17 13:40,11.40,87680,-3507.20,-0.35,59747.13,-0.33,1753.60,0.18,3507.20,0.35
409,Exit Short,Short Close,2024-05-17 13:20,11.45,87108,2613.24,0.26,63254.33,0.25,4355.40,0.44,0,0
409,Entry Short,Short,2024-05-17 12:00,11.48,87108,2613.24,0.26,63254.33,0.25,4355.40,0.44,0,0
408,Exit Short,Short-Stop Loss/TP,2024-05-17 11:00,11.53,87032,-3481.28,-0.35,60641.09,-0.33,2610.96,0.26,3481.28,0.35
408,Entry Short,Short,2024-05-17 10:25,11.49,87032,-3481.28,-0.35,60641.09,-0.33,2610.96,0.26,3481.28,0.35
407,Exit Short,Short-Stop Loss/TP,2024-05-16 13:20,11.56,86655,-1733.10,-0.17,64122.37,-0.16,0,0,1733.10,0.17
407,Entry Short,Short,2024-05-16 13:15,11.54,86655,-1733.10,-0.17,64122.37,-0.16,0,0,1733.10,0.17
406,Exit Short,Short-Stop Loss/TP,2024-05-16 12:45,11.56,86730,-1734.60,-0.17,65855.47,-0.16,867.30,0.09,1734.60,0.17
406,Entry Short,Short,2024-05-16 12:40,11.54,86730,-1734.60,-0.17,65855.47,-0.16,867.30,0.09,1734.60,0.17
405,Exit Short,Short Close,2024-05-16 12:30,11.54,86730,0,0,67590.07,0,867.30,0.09,0,0
405,Entry Short,Short,2024-05-16 12:25,11.54,86730,0,0,67590.07,0,867.30,0.09,0,0
404,Exit Short,Short-Stop Loss/TP,2024-05-16 11:00,11.52,87032,-2610.96,-0.26,67590.07,-0.24,0,0,2610.96,0.26
404,Entry Short,Short,2024-05-16 10:55,11.49,87032,-2610.96,-0.26,67590.07,-0.24,0,0,2610.96,0.26
403,Exit Short,Short Close,2024-05-16 10:25,11.53,86880,-1737.60,-0.17,70201.03,-0.16,1737.60,0.17,2606.40,0.26
