Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
34,Exit Short,Open,,,,,,,,,,,
34,Entry Short,S,2024-05-14,12.19,,,,,,,,,
33,Exit Short,Short Close,2024-04-19,15.03,64599,29715.54,2.97,5057378.78,0.49,178293.24,17.82,55555.14,5.55
33,Entry Short,S,2023-12-29,15.49,64599,29715.54,2.97,5057378.78,0.49,178293.24,17.82,55555.14,5.55
32,Exit Short,Short Close,2023-12-21,17.18,49067,145238.32,14.7,5027663.24,2.47,226689.54,22.94,40725.61,4.12
32,Entry Short,S,2023-11-08,20.14,49067,145238.32,14.7,5027663.24,2.47,226689.54,22.94,40725.61,4.12
31,Exit Short,Short Close,2023-10-19,24.67,23310,406759.50,41.43,4882424.92,7.43,520978.50,53.06,25407.90,2.59
31,Entry Short,S,2023-04-13,42.12,23310,406759.50,41.43,4882424.92,7.43,520978.50,53.06,25407.90,2.59
30,Exit Short,Short Close,2023-03-15,55.98,14409,187605.18,18.87,4475665.42,3.55,385584.84,38.78,62246.88,6.26
30,Entry Short,S,2022-11-07,69.00,14409,187605.18,18.87,4475665.42,3.55,385584.84,38.78,62246.88,6.26
29,Exit Short,Short Close,2022-10-17,83.24,11520,62208.00,6.09,4288060.24,1.19,198604.80,19.45,190310.40,18.64
29,Entry Short,S,2022-06-03,88.64,11520,62208.00,6.09,4288060.24,1.19,198604.80,19.45,190310.40,18.64
28,Exit Short,Short Close,2022-02-15,86.72,13283,-113702.48,-10.95,4225852.24,-2.13,119281.34,11.49,440995.60,42.48
28,Entry Short,S,2022-01-10,78.16,13283,-113702.48,-10.95,4225852.24,-2.13,119281.34,11.49,440995.60,42.48
27,Exit Short,Short Close,2021-12-01,94.52,3991,613815.80,61.94,4339554.72,12.99,680226.04,68.64,113025.12,11.4
27,Entry Short,S,2021-02-19,248.32,3991,613815.80,61.94,4339554.72,12.99,680226.04,68.64,113025.12,11.4
26,Exit Short,Short Close,2021-02-01,321.44,3045,-49207.20,-5.29,3725738.92,-1.03,147621.60,15.88,130569.60,14.05
26,Entry Short,S,2020-11-09,305.28,3045,-49207.20,-5.29,3725738.92,-1.03,147621.60,15.88,130569.60,14.05
25,Exit Short,Short Close,2020-11-03,402.40,1227,471168.00,48.83,3774946.12,10.95,541254.24,56.09,53988.00,5.6
25,Entry Short,S,2020-03-26,786.40,1227,471168.00,48.83,3774946.12,10.95,541254.24,56.09,53988.00,5.6
24,Exit Short,Short Close,2020-02-03,252.64,4024,-46356.48,-4.78,3303778.12,-1.07,123617.28,12.74,104945.92,10.82
24,Entry Short,S,2019-12-16,241.12,4024,-46356.48,-4.78,3303778.12,-1.07,123617.28,12.74,104945.92,10.82
23,Exit Short,Short Close,2019-12-05,276.64,2668,264665.60,26.39,3350134.60,6.48,315464.32,31.46,154103.68,15.37
23,Entry Short,S,2019-09-17,375.84,2668,264665.60,26.39,3350134.60,6.48,315464.32,31.46,154103.68,15.37
22,Exit Short,Short Close,2019-08-09,422.88,2347,751.04,0.08,3085469.00,0.02,189262.08,19.05,136689.28,13.76
22,Entry Short,S,2019-06-24,423.20,2347,751.04,0.08,3085469.00,0.02,189262.08,19.05,136689.28,13.76
21,Exit Short,Short Close,2019-05-29,478.24,1609,216764.48,21.98,3084717.96,5.6,346256.80,35.11,25229.12,2.56
21,Entry Short,S,2019-01-29,612.96,1609,216764.48,21.98,3084717.96,5.6,346256.80,35.11,25229.12,2.56
20,Exit Short,Short Close,2018-10-12,535.84,1569,149368.80,15.09,2867953.48,4.02,341163.36,34.46,26861.28,2.71
20,Entry Short,S,2018-05-09,631.04,1569,149368.80,15.09,2867953.48,4.02,341163.36,34.46,26861.28,2.71
19,Exit Short,Short Close,2018-04-06,774.56,1482,-117611.52,-11.42,2718584.68,-3.07,123539.52,11.99,245893.44,23.87
19,Entry Short,S,2018-02-20,695.20,1482,-117611.52,-11.42,2718584.68,-3.07,123539.52,11.99,245893.44,23.87
18,Exit Short,Short Close,2018-01-31,479.04,519,749519.04,75.09,2836196.20,24.28,785641.44,78.71,3653.76,0.37
18,Entry Short,S,2016-11-17,1923.20,519,749519.04,75.09,2836196.20,24.28,785641.44,78.71,3653.76,0.37
