Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
191,Exit Short,Short TP/SL,2024-06-03,11.76,84104,14297.68,1.42,912594.59,0.75,47939.28,4.78,23549.12,2.35
191,Entry Short,S,2024-05-31,11.93,84104,14297.68,1.42,912594.59,0.75,47939.28,4.78,23549.12,2.35
190,Exit Short,Short TP/SL,2024-05-30,11.94,87032,5221.92,0.5,898296.91,0.28,23498.64,2.25,3481.28,0.33
190,Entry Short,S,2024-05-29,12.00,87032,5221.92,0.5,898296.91,0.28,23498.64,2.25,3481.28,0.33
189,Exit Short,Short Close,2024-04-05,14.18,74850,-41916.00,-4.11,893074.99,-2.17,0,0,59131.50,5.8
189,Entry Short,S,2024-04-04,13.62,74850,-41916.00,-4.11,893074.99,-2.17,0,0,59131.50,5.8
188,Exit Short,Short TP/SL,2024-04-03,13.66,76103,-2283.09,-0.22,934990.99,-0.12,13698.54,1.32,24352.96,2.35
188,Entry Short,S,2024-04-02,13.63,76103,-2283.09,-0.22,934990.99,-0.12,13698.54,1.32,24352.96,2.35
187,Exit Short,Short Close,2024-03-11,14.61,70871,-17717.75,-1.74,937274.08,-0.91,0,0,42522.60,4.18
187,Entry Short,S,2024-03-08,14.36,70871,-17717.75,-1.74,937274.08,-0.91,0,0,42522.60,4.18
186,Exit Short,Short TP/SL,2024-03-06,14.14,73691,18422.75,1.74,954991.83,0.95,49372.97,4.66,11790.56,1.11
186,Entry Short,S,2024-03-05,14.39,73691,18422.75,1.74,954991.83,0.95,49372.97,4.66,11790.56,1.11
185,Exit Short,Short Close,2024-02-14,14.75,69832,2793.28,0.27,936569.08,0.14,9078.16,0.88,106144.64,10.28
185,Entry Short,S,2024-02-13,14.79,69832,2793.28,0.27,936569.08,0.14,9078.16,0.88,106144.64,10.28
184,Exit Short,Short TP/SL,2024-02-01,14.98,69444,16666.56,1.58,933775.80,0.87,36110.88,3.42,2083.32,0.2
